b_pubid,b_sourceid,id,b_matchgrp,b_xgrp,normalized_first_name,normalized_last_name,member_id,date_of_birth,normalized_street,normalized_city,normalized_state,addpostal_code,addcountry,cleansed_email,standardized_phone
CRM,1376294,10019,11,,ray,amason,933-15-1090,1975-12-16,3 DEPOT ST,WAPAKONETA,OHIO,45665,US,rey@amason.com,
MKT,1380884,10219,194,,mares,r,976-31-1498,1983-05-09,220090 S 7TH ST,MINNEAPOLIS,MINNESOTA,55402,US,reinaldo@mares.com,(612) 336-4873
CRM,1123060,10009,9,,mary-ann,markes,,1899-12-31,1200 SUMMER ST #-103,STAMFORD,CONNECTICUT,06905,US,maryann@markes.com,(203) 967-5612
CRM,1313060,10010,9,,mary-ann,markes,,1993-11-18,1200 SUMMER ST APT #103,STAMFORD,CONNECTICUT,06905,US,maryann@markes.com,(203) 967-5612
CRM,1316294,10015,11,,ray,amason,933-15-1090,1975-12-16,3 DEPOT ST,WAPAKONETA,OHIO,45665,US,rey@amason.com,(419) 738-9241
CRM,1326294,10016,11,,ray,amason,933-15-1090,1975-12-16,3 DEPOT ST,WAPAKONETA,OHIO,45665,US,rey@amason.com,(419) 738-9241
CRM,1320830,10021,12,,jass,ellerbusch,585-96-9870,1991-12-11,73 S HAMILTON AVE,DOYLESTOWN,PENNSYLVANIA,18901,US,jass@ellerbusch.com,(215) 348-5078
CRM,1333590,10026,14,,john,edelman,,1976-09-03,591 REDWOOD HWY #-1200,MILL VALLEY,CALIFORNIA,94941,US,john@jedelman.com,(415) 381-9176
CRM,1350076,10030,18,,federico,popp,631-46-6958,1983-04-30,419 N CASCADE AVE,COLORADO SPRINGS,COLORADO,60603,US,federico@popp.com,(719) 635-5347
CRM,1353445,10032,24,,vernice,southwood,948-20-5524,1987-10-22,8 COMMERCIAL BLVD,MEDFORD,NEW YORK,11783,US,vernice@southwood.com,(631) 698-8293
CRM,1350480,10109,19,,quinn,mitchen,360-80-7860,1992-01-12,67616 DESERT VIEW AVE,DESERT HOT SPRINGS,CALIFORNIA,62240,US,quinn@mitchen.com,(760) 329-3382
CRM,1351779,10110,20,,lyman,wengel,502-29-7214,1986-01-02,1225 17TH ST,DENVER,COLORADO,60202,US,lyman@wengel.com,(303) 292-4338
CRM,1352226,10111,21,,lucinda,clingingsmith,486-31-7842,1993-03-18,91195 HANUA ST,KAPOLEI,HAWAII,68707,US,lucy@clingingsmith.com,(808) 682-3122
CRM,1352415,10112,22,,tuan,corbett,920-47-5281,1992-11-09,16 MAPLE ST,MECHANIC FALLS,MAINE,04258,US,tuan@corbett.com,(207) 345-7845
CRM,1352961,10113,23,,harry,elbers,657-49-2831,1995-11-17,106 T ST,EUREKA,CALIFORNIA,65501,US,harold@elbers.com,(707) 442-1642
CRM,1353814,10114,26,,ross,taulman,168-32-5112,1978-11-06,1201 3RD AVE #-3400,SEATTLE,WASHINGTON,66101,US,roscoe@taulman.com,(206) 682-4857
CRM,1363595,10042,37,,nola,girvan,,1980-04-10,1620 PAONIA ST,COLORADO SPRINGS,COLORADO,,US,nola@girvan.com,(719) 574-6245
CRM,1371322,10044,51,,deshawn,peters,217-80-1993,1982-09-18,125 NE 1ST AVE,OCALA,FLORIDA,34470,US,d@pedrogo.com,(217) 243-7667
CRM,1365204,10122,38,,wesley,sahagun,951-21-4063,1978-11-15,2404 W MERCURY BLVD,HAMPTON,VIRGINIA,,US,wesley@sahagun.com,(757) 827-1035
CRM,1366369,10123,39,,lisa,hilgeman,443-76-2679,1977-08-11,600 GRANT ST #-42,PITTSBURGH,PENNSYLVANIA,,US,elisa@hilgeman.com,(412) 566-1804
CRM,1409489,10174,53,,carroll,spark,325-59-6053,1992-02-08,500 S RANDALL ST,RHOME,TEXAS,76078,US,carroll@spark.com,636-2216
CRM,1375249,10046,61,,marquis,barayuga,,1985-01-30,2 ALLéE FLORIAN,TASSIN-LA-DEMI-LUNE,RHôNE,69160,France,marquis@barayuga.com,04 78 79 83 84
CRM,1380101,10048,69,,sara,johnson,237-24-5099,1997-10-17,,SAN RAFAEL,CALIFORNIA,,US,saraj@yahoo.com,(415) 472-3289
CRM,1374265,10137,59,,dale,balliew,517-40-9855,1980-10-14,216 BIRCH AVE,KENNETT SQUARE,PENNSYLVANIA,19348,US,dale@wallet.com,(610) 444-4527
CRM,1374473,10138,60,,buster,tukuafa,742-79-3759,1972-10-24,822 BARONNE AVE,NEW ORLEANS,LOUISIANA,70113,US,buster@tukuafa.com,(504) 522-0979
CRM,1376534,10139,63,,cortez,derer,951-85-1389,1976-12-21,1415 N 32ND AVE,FORT SMITH,ARKANSAS,72904,US,cortez@derer.com,(479) 785-7023
CRM,1376827,10140,64,,reginald,kososky,680-76-1657,1969-01-11,600 S INDIAN HILL AVE,CLAREMONT,CALIFORNIA,91711,US,reggie@kososky.com,(909) 625-9884
CRM,1386237,10057,85,,callie,aldaba,212-33-8685,1972-04-03,2151 RIVER PLAZA DR STE 105,SACRAMENTO,CALIFORNIA,95833,US,callie@aldaba.com,(916) 567-4449
CRM,1389553,10059,90,,fran,sahagun,407-16-8942,1972-07-22,220 S 6TH ST,MINNEAPOLIS,MINNESOTA,55402,US,francine@sahagun.com,(612) 340-7052
CRM,1390832,10061,92,,jake,schettler,,1983-05-09,10400 EATON PL #-401,FAIRFAX,VIRGINIA,22030,US,jake@schettler.com,(703) 591-4492
CRM,1385955,10152,83,,cal,taulman,736-12-9335,1984-03-31,PETROLEUM,WICHITA,KANSAS,67202,US,caleb@taulman.com,(316) 625-8492
CRM,1386206,10153,84,,kelley,taulman,281-25-8641,1976-09-06,1111 SUPERIOR AVE E,CLEVELAND,OHIO,44114,US,kelley@taulman.com,(216) 771-0715
CRM,1386547,10154,86,,alyce,mercury,395-24-5655,1973-08-29,108 N COLUMBUS ST,ALEXANDRIA,VIRGINIA,22314,US,alyce@mercury.com,(703) 548-7115
CRM,1388210,10155,88,,abe,corbett,505-79-3923,1986-10-06,12 S 12TH ST,PHILADELPHIA,PENNSYLVANIA,19107,US,abraham@corbett.com,(215) 627-9067
CRM,1388630,10156,89,,carmine,anadio,519-24-3777,1994-02-28,93 MAIN ST,ORONO,MAINE,04473,US,carmine@anadio.com,(207) 866-5602
CRM,1398375,10072,108,,mark,waters,585-39-8288,1980-06-15,2308 BATES AVE,CONCORD,CALIFORNIA,94520,US,mark@markwaters.com,(925) 682-6249
CRM,1402262,10075,114,,louis,kyle,323-81-3897,1988-05-23,9425 STENTON AVE,PHILADELPHIA,PENNSYLVANIA,19118,US,louis@kyle.com,(215) 233-0367
CRM,1404509,10077,117,,alanna p,resides,672-76-1800,1899-12-31,4892 RIVER ST. #102,DETROIT,MICHIGAN,48208,US,a@presidency.com,898-2211
