"b_pubid","b_sourceid","b_classname","b_batchid","b_credate","b_upddate","b_creator","b_updator","b_pendingactions","b_matchgrp","b_oldmatchgrp","b_xgrp","b_confirmationstatus","b_confscore","b_confscoretype","b_hassuggmerge","b_suggmergeid","b_suggmergeconfscore","b_suggmergeconfscoretype","b_suggmergemasterscount","id","b_oldsdpk","b_confirmedsdpk","first_name","last_name","phonetic_first_name","phonetic_last_name","normalized_first_name","normalized_last_name","nickname","member_id","date_of_birth","normalized_street","normalized_city","normalized_state","source_email","cleansed_email","valid_email_domain","source_phone","standardized_phone","phone_geocoding_data","value_status","person_type","addstreet","addcity","addstate","addpostal_code","addcountry","mdm_id","effective_update_date","guess_gender"
CRM,"1373060",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,955,,,NOT_CONFIRMED,,,,,,,,10392,10392,,Hallie,Williams,HL,WLMS,hallie,williams,hallie,"249-96-8516",1976-12-20,"320 NEW BRIDGE AVE",JACKSONVILLE,NORTH CAROLINA,hallie@gmai.com,hallie@gmail.com,"1","910-455-8087",(910) 455-8087,"Jacksonville, NC",,PROSPECT,"320 New Bridge Ave",Jacksonville,NC,"28540",US,,2025-03-20 14:19:14.097,FEMALE
MKT,"1352605",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,956,,,NOT_CONFIRMED,,,,,,,,10451,10451,,Cassie,Lee,KS,L,cassie,lee,cassandra,"764-58-3930",1984-01-19,HOWELLS RD,MIDDLETOWN,NEW YORK,carrie@sandrowicz.com,carrie@sandrowicz.com,"1","845-344-5941",(845) 344-5941,"Middletown, NY",NORMAL,CUSTOMER,Howells Rd,Middletown,NY,"10640",US,,2025-03-20 14:19:13.946,FEMALE
CRM,"1440419",Person,89,2025-03-19 10:49:09.590,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,957,,,NOT_CONFIRMED,,,,,,,,10503,10503,,Min,Dart,MN,TRT,min,dart,min,"92",1977-11-07,"861 BAY PASS",CALABUGAO,,mdartd@tinypic.com,mdartd@tinypic.com,"1",,,,NORMAL,CUSTOMER,"861 Bay Pass",Calabugao,,"2721",PH,,2025-03-20 14:19:14.061,FEMALE
MKT,"1445916",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,958,,,NOT_CONFIRMED,,,,,,,,10545,10545,,Farica,Anelay,FRK,ANL,farica,anelay,farica,"32",1940-10-24,"8 ANNAMARK PASS",KITEN,,fanelaya@home.pl,fanelaya@home.pl,"1",,,,NORMAL,CUSTOMER,"8 Annamark Pass",Kiten,,,BG,,2025-03-20 14:19:14.026,UNKNOWN
CRM,"1435009",Person,89,2025-03-19 10:49:09.590,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,959,,,NOT_CONFIRMED,,,,,,,,10504,10504,,Cinderella,Le Sarr,SNTR,LSR,cinderella le,sarr,cinderella,"54",1981-04-26,"98 BONNER ST",KERATéA,,clesarrv@nifty.com,clesarrv@nifty.com,"1",,,,,PROSPECT,"98 Bonner Street",Keratéa,,,GR,,2025-03-20 14:19:13.976,UNKNOWN
CRM,"1435306",Person,89,2025-03-19 10:49:09.590,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,960,,,NOT_CONFIRMED,,,,,,,,10505,10505,,Tomlin,Laval,TMLN,LFL,laval,tomlin,tomlin,"51",1947-02-16,"9000 MEMORIAL AVE",ATIPULUHAN,,tlavaly@state.tx.us,tlavaly@state.tx.us,"1",,,,NORMAL,CUSTOMER,"9000 Memorial Avenue",Atipuluhan,,"6124",PH,,2025-03-20 14:19:14.138,UNKNOWN
CRM,"1385517",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,961,,,NOT_CONFIRMED,,,true,1292,92,AVG_TRANS_MATCH_SCORE,2,10295,10295,,Mike,Larue,MK,LR,mike,larue,michael,,1991-09-04,"109 N MAYO ST",AMERICUS,GEORGIA,mikelarue@amason.com,mikelarue@amason.com,"1","229-924-2487",(229) 924-2487,"Americus, GA",HIGH,CUSTOMER,"109 N Mayo St",Americus,GA,"31709",US,,2025-03-20 14:19:14.139,MALE
CRM,"1439077",Person,89,2025-03-19 10:49:09.590,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,962,,,NOT_CONFIRMED,,,,,,,,10514,10514,,Reggi,Narramore,RK,NRMR,reggi,narramore,reggi,"50",1939-11-25,"3008 ORIOLE ST",KRAJANBATURNO,,rnarramorej@sourceforge.net,rnarramorej@sourceforge.net,"1",,,,HIGH,CUSTOMER,"3008 Oriole Street",Krajanbaturno,,,ID,,2025-03-20 14:19:13.843,UNKNOWN
CRM,"1439192",Person,89,2025-03-19 10:49:09.590,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,963,,,NOT_CONFIRMED,,,,,,,,10515,10515,,Archibold,Boxe,ARXB,BKS,archibold,boxe,archibold,"9",1991-02-08,"1 2ND ST",BERLIN,BERLIN,aboxe18@jugem.jp,aboxe18@jugem.jp,"1",,,,NORMAL,CUSTOMER,"1 2nd Street",Berlin,Berlin,"12307",DE,,2025-03-20 14:19:13.860,UNKNOWN
CRM,"1439369",Person,89,2025-03-19 10:49:09.590,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,964,,,NOT_CONFIRMED,,,,,,,,10516,10516,,Galina,Kalaher,KLN,KLHR,galina,kalaher,galina,"64",1988-09-14,"42 MANDRAKE PARK",FENCHENG,,gkalaherf@uol.com.br,gkalaherf@uol.com.br,"1",,,,HIGH,CUSTOMER,"42 Mandrake Park",Fencheng,,,CN,,2025-03-20 14:19:14.177,FEMALE
