z_minScore,z_maxScore,z_cluster,b_pubid,b_sourceid,id,b_matchgrp,b_xgrp,normalized_first_name,normalized_last_name,member_id,date_of_birth,normalized_street,normalized_city,normalized_state,addpostal_code,addcountry,cleansed_email,standardized_phone
0.0,0.9999732845734497,11,MKT,1413527,10359,1232,,daron,seyfarth,953-28-7468,1991-09-25,1211 SW 5TH AVE,PORTLAND,OREGON,97204,US,daron@seyfarth.com,796-4738
0.0,1.0,4,CRM,1445906,10546,1166,,carole,samett,19,1957-11-07,0 ANDERSON PLZ,SENTUL,,,ID,csamett0@scientificamerican.com,
0.0,0.999999648539019,29,MKT,1398717,10496,1217,,justina,ubaldo,300-23-3433,1985-01-30,320 W FRONT ST,MEDIA,PENNSYLVANIA,19063,US,justina@ubaldo.com,(610) 565-9373
0.0,0.999999999996107,11,CRM,1436978,10285,1009,,deshawn,peters,217-80-1993,1982-09-18,125 NE 1ST AVE,OCALA,FLORIDA,34470,US,d@pedrogo.com,(217) 243-7667
,,28,CRM,1375249,10287,1012,,marquis,barayuga,,1985-01-30,2 ALLéE FLORIAN,TASSIN-LA-DEMI-LUNE,RHôNE,69160,France,marquis@barayuga.com,04 78 79 83 84
0.0,1.0,7,MKT,1356294,10258,984,,ray,amason,283-51-4212,1975-12-16,3 DEPOT ST,WAPAKONETA,OHIO,45665,US,rey@amason.com,(419) 738-9241
0.0,0.9807277435690621,193,MKT,1392625,10488,1208,,viv,jackowiak,187-99-5325,1899-12-31,1320 HODGES ST,RALEIGH,NORTH CAROLINA,27604,US,vivian@jackowiak.com,(919) 832-9928
0.0,0.9999999999337552,4,CRM,1435009,10504,959,,cinderella le,sarr,54,1981-04-26,98 BONNER ST,KERAT√©A,,,GR,clesarrv@nifty.com,
0.0,0.999999957580862,124,MKT,1437774,10529,1249,,marnie,vallack,40,1955-08-22,88 THOMPSON POINT,LENGSHUIJING,,,CN,mvallackq@twitpic.com,
0.0,0.9999999998733884,9,MKT,1437091,10528,1248,,gabriele,medhurst,23,1957-05-03,3 ALGOMA LANE,NOVOSPASSKOYE,,607914,RU,gmedhurstn@ucoz.ru,
0.9999999999763035,0.9999999999763035,41,CRM,1429646,10443,1158,,huey,gouker,780-92-6273,1990-10-27,100 HABERSHAM DR,FAYETTEVILLE,GEORGIA,30214,US,huey@gouker.com,461-4303
,,19,CRM,1392939,10420,975,,stacy,schettler,749-71-8416,1979-08-01,36 EXTON ST,SOUTH RIVER,NEW JERSEY,08882,US,stacy@schettler.com,(732) 254-0161
,,276,MKT,1363038,10459,977,,lois,kyle,967-16-3491,1972-03-13,9425 STENTON AVE,PHILADELPHIA,PENNSYLVANIA,19118,US,lois@kyle.com,(215) 233-0367
0.0,0.999761312572262,4,MKT,1374096,10463,1202,,claudine,hudy,140-13-3280,1988-08-03,1540 S 21ST AVE,COLORADO SPRINGS,COLORADO,80904,US,claudine@hudy.com,(719) 633-3092
0.0,1.0,29,CRM,1383590,10270,987,,john,edelman,905-96-5314,1976-09-03,591 REDWOOD HIGHWAY #1200,MILL VALLEY,CALIFORNIA,94941,US,john@jedelman.com,(415) 381-9176
