z_minScore,z_maxScore,z_cluster,b_pubid,b_sourceid,id,b_matchgrp,b_xgrp,normalized_first_name,normalized_last_name,member_id,date_of_birth,normalized_street,normalized_city,normalized_state,addpostal_code,addcountry,cleansed_email,standardized_phone
0.0,0.9944893213354683,16,MKT,1445939,10586,1283,,kessiah,poutress,85,1942-10-08,0 MUIR LANE,HUANGGANG,,,CN,kpoutressx@vistaprint.com,
0.0,0.9195322886703694,29,CRM,1408146,10316,1150,,josef,taulman,,1989-04-29,1620 ASHEVILLE HWY,HENDERSONVILLE,NORTH CAROLINA,28791,US,josef@taulman.com,693-9775
0.0,0.9999999848973561,16,CRM,1394755,10303,1027,,ken,robaina,,1972-04-03,1455 91ST AVE NE,MINNEAPOLIS,MINNESOTA,,US,ken@robaina.com,(763) 780-4712
0.0,0.9999974299544108,11,CRM,1440360,10518,966,,doll,hadcroft,47,1949-05-24,293 LOGAN AVE,MNELALETE,,,ID,dhadcroftx@nsw.gov.au,
0.0,0.9999999976376646,7,CRM,1439572,10517,965,,rori,munden,63,1942-03-07,72637 SHELLEY TERRACE,HUANGASCAR,,,PE,rmundenl@lulu.com,
0.0,0.99999999999998,4,CRM,1445923,10553,1173,,chloe,smalcombe,92,1984-12-28,6 PAWLING CTR,LUOFANG,,,CN,csmalcombeh@ihg.com,
1.0,1.0,68,CRM,1389553,10300,1145,,fran,sahagun,407-16-8942,1972-07-22,220 S 6TH ST,MINNEAPOLIS,MINNESOTA,55402,US,francine@sahagun.com,(612) 340-7052
,,122,CRM,1376827,10396,1015,,reginald,kososky,680-76-1657,1969-01-11,600 S INDIAN HILL AVE,CLAREMONT,CALIFORNIA,91711,US,reggie@kososky.com,(909) 625-9884
0.5052266078885562,0.5052266078885562,177,MKT,1379537,10472,1095,,david,camell,539-13-2039,1989-07-01,4 E 8TH ST #-200,WILMINGTON,DELAWARE,19801,US,dave@caress.com,(302) 655-4884
0.0,0.9869220933620177,6,MKT,1427534,10296,961,,mike,larue,,1992-09-04,109 N MAYO ST,AMERICUS,GEORGIA,31709,US,mikelarue@amason.com,(229) 924-2487
0.9181367022624456,0.999999999996107,258,MKT,1379005,10311,1037,,mark,waters,585-39-8288,1980-06-15,2308 BATES AVE,CONCORD,CALIFORNIA,94520,US,mark@markwaters.com,(925) 682-6249
,,164,MKT,1356989,10456,1070,,lino,sultaire,287-23-4924,1986-07-20,1400 N WOODWARD AVE #-200,BLOOMFIELD HILLS,MICHIGAN,46304,US,lino@sultaire.com,(248) 647-7623
0.0,0.9999999997510611,4,CRM,1392184,10417,1029,,clare,poitier,422-95-5398,1969-07-16,28500 GREEN OAK DR,ROSEVILLE,MICHIGAN,48066,US,clair@poitier.com,(586) 296-0808
0.0,0.9368692046518331,43,MKT,1370265,10346,1197,,betsy,pravata,549-59-7385,1987-12-12,659 S RIVER AVE,AURORA,ILLINOIS,60506,US,betsy@pravata.com,(630) 801-2462
0.0,0.9999999998732596,9,MKT,1445937,10584,1281,,garvin,paton,93,1967-01-19,65 SUGAR DR,NANGABULIK,,,ID,gpatonv@fotki.com,
0.999999999996107,0.999999999996107,333,MKT,1379404,10333,1206,,emily,michaels,743-71-5476,1983-05-09,108 W RANDOLPH AVE,ENID,OKLAHOMA,73701,US,michaels@gouker.com,(580) 233-9834
0.0,0.9662972975479406,70,CRM,1391914,10416,1028,,thanh,spark,771-74-9982,1991-05-15,1800 IDS CTR,MINNEAPOLIS,MINNESOTA,55402,US,thanh@spark.com,(612) 339-5614
0.0,0.9985623934004559,7,CRM,1384577,10406,1020,,roy,averhart,516-19-2273,1973-02-17,101 S SAN MATEO DR,SAN MATEO,CALIFORNIA,94401,US,roy@averhart.com,(650) 342-2438
,,101,CRM,1352961,10368,994,,harry,elbers,657-49-2831,1995-11-17,106 T ST,EUREKA,CALIFORNIA,65501,US,harold@elbers.com,(707) 442-1642
,,180,MKT,1381873,10475,1109,,omer,averhart,423-85-6129,1981-01-09,400 CAPITOL MALL,SACRAMENTO,CALIFORNIA,95814,US,omer@averhart.com,(916) 927-6221
,,168,MKT,1373598,10462,1201,,bryon,ubaldo,978-35-2165,1994-08-09,411 SW 24TH AVE,SAN ANTONIO,TEXAS,78207,US,bryon@ubaldo.com,(210) 436-9996
0.0,0.6248616929334319,3,CRM,1443168,10523,1026,,fanya,byrnes,93,1961-09-27,6204 DUNNING COURT,ASEN,,6151,BG,fbyrnese@stumbleupon.com,
0.0,0.5445387189038575,7,CRM,1439566,10448,1162,,reginald,temores,688-83-4192,1976-12-12,402 BNA DR,NASHVILLE,TENNESSEE,37217,US,reggie@temores.com,(615) 360-5493
