z_minScore,z_maxScore,z_cluster,b_pubid,b_sourceid,id,b_matchgrp,b_xgrp,normalized_first_name,normalized_last_name,member_id,date_of_birth,normalized_street,normalized_city,normalized_state,addpostal_code,addcountry,cleansed_email,standardized_phone
0.9999999999913562,0.9999999999913562,99,CRM,1406729,10035,25,,angelica,aldaba,992-13-6271,1986-11-23,1427 NW DAVIS ST,PORTLAND,OREGON,67206,US,angelia@aldaba.com,(503) 228-3027
,,219,MKT,1378547,10216,187,,tonya,joehnck,764-30-1523,1993-01-21,30 7TH ST E #-510,SAINT PAUL,MINNESOTA,55101,US,tonya@joehnck.com,(651) 298-9175
0.999999999996107,0.999999999996107,27,CRM,1386237,10057,85,,callie,aldaba,212-33-8685,1972-04-03,2151 RIVER PLAZA DR STE 105,SACRAMENTO,CALIFORNIA,95833,US,callie@aldaba.com,(916) 567-4449
,,64,MKT,1381567,10220,195,,earnestine,waetzig,137-98-3962,1992-02-25,16161 BROOKPARK RD,BROOK PARK,OHIO,44142,US,earnestine@waetzig.com,(216) 267-1844
,,203,MKT,1358864,10197,159,,evan,cacace,645-43-8653,1971-12-12,1400 OLD COUNTRY RD,WESTBURY,NEW YORK,11560,US,evan@cacace.com,(516) 997-9354
,,158,CRM,1366536,10125,41,,nelda,elbers,111-54-8188,1997-02-02,100 FEDERAL AVE,BOSTON,MASSACHUSETTS,02110,US,nelda@elbers.com,(617) 330-5446
,,87,MKT,1433965,10261,252,,ronnie,ellerbusch,134-45-7905,1995-06-02,1126 17TH AVE,MONROE,WISCONSIN,53566,US,ron@ellerbusch.com,325-2068
0.9999999877632737,0.999999999996107,35,CRM,1398375,10072,108,,mark,waters,585-39-8288,1980-06-15,2308 BATES AVE,CONCORD,CALIFORNIA,94520,US,mark@markwaters.com,(925) 682-6249
,,186,CRM,1392270,10162,98,,adele,mackson,180-77-9038,1981-01-09,15 PLEASANT AVE E,PARAMUS,NEW JERSEY,07652,US,adelaide@mackson.com,(201) 845-4885
,,136,MKT,1363038,10076,114,,lois,kyle,967-16-3491,1972-03-13,9425 STENTON AVE,PHILADELPHIA,PENNSYLVANIA,19118,US,lois@kyle.com,(215) 233-0367
,,235,MKT,1398789,10244,224,,leopoldo,michna,113-79-2637,1986-10-06,166 BOULDER DR,FITCHBURG,MASSACHUSETTS,01420,US,leopoldo@michna.com,(978) 343-6343
0.9821999903119848,0.9999985669114843,37,MKT,1374707,10078,117,,alanna,resides,672-76-1800,1899-12-31,4892 RIVER,DETROIT,MICHIGAN,"",,a@presidency.com,(618) 594-3207
,,242,MKT,1412252,10252,237,,alice,shabazz,556-72-6258,1985-09-12,16 S KETCHAM AVE,AMITYVILLE,NEW YORK,11701,US,alyce@shabazz.com,691-6477
,,55,MKT,1353826,10193,153,,teri,neundorfer,590-89-3615,1983-11-09,601 W MAIN #-815,SPOKANE,WASHINGTON,66201,US,teri@neundorfer.com,(509) 838-6142
,,83,MKT,1428866,10257,248,,shauna,ellerbusch,110-35-6626,1985-03-18,1042 IH 35 E,NEW BRAUNFELS,TEXAS,78130,US,shauna@ellerbusch.com,2591
,,194,CRM,1410141,10176,123,,britt,rave,430-89-8443,1979-02-05,2501 WAYZATA BLVD,MINNEAPOLIS,MINNESOTA,55405,US,britt@rave.com,377-6491
,,197,CRM,1434531,10184,138,,lee,coday,742-10-9107,1982-04-10,27324 CAMINO CAPISTRANO #-153,LAGUNA NIGUEL,CALIFORNIA,92677,US,levi@coday.com,348-4985
,,57,MKT,1355044,10195,155,,lexi,derer,449-56-5297,1986-07-20,RT 111,HOLLIS,NEW HAMPSHIRE,03046,US,alexis@derer.com,(603) 883-6221
0.999999999996107,0.999999999996107,46,MKT,1383232,10094,148,,anthony,roberts,771-88-9632,1952-09-07,1555 S GREENWOOD AVE,MONTEBELLO,CALIFORNIA,90640,US,anthonyroberts@gmail.com,(323) 887-4889
,,16,CRM,1363595,10042,37,,nola,girvan,,1980-04-10,1620 PAONIA ST,COLORADO SPRINGS,COLORADO,,US,nola@girvan.com,(719) 574-6245
,,50,CRM,1428529,10182,135,,chang,svec,930-64-5708,1989-12-14,3416 S 48TH ST #-6,PHOENIX,ARIZONA,85040,US,chang@svec.com,968-2792
0.999999999996107,0.999999999996107,17,CRM,1371322,10044,51,,deshawn,peters,217-80-1993,1982-09-18,125 NE 1ST AVE,OCALA,FLORIDA,34470,US,d@pedrogo.com,(217) 243-7667
