z_minScore,z_maxScore,z_cluster,b_pubid,b_sourceid,id,b_matchgrp,b_xgrp,normalized_first_name,normalized_last_name,member_id,date_of_birth,normalized_street,normalized_city,normalized_state,addpostal_code,addcountry,cleansed_email,standardized_phone
,,160,CRM,1439594,10449,1163,,kathie,kum,850-66-9932,1980-11-05,220 S BRDWAY,ROCHESTER,MINNESOTA,55904,US,kathie@kum.com,(507) 288-4102
,,128,CRM,1381226,10402,1143,,mose,pravata,585-94-2297,1969-02-15,1011 EDGEWATER AVE,RIDGEFIELD,NEW JERSEY,07657,US,mose@pravata.com,(201) 941-5345
,,24,CRM,1356510,10374,999,,faye,mcgrue,568-12-1704,1983-06-13,1120 20TH ST NW,WASHINGTON,DC,20038,US,faye@mcgrue.com,(202) 962-9236
0.0,0.9700980051425988,29,CRM,1378963,10399,1140,,jonah,bamfield,892-94-4443,1986-08-14,180 N STETSON AVE,CHICAGO,ILLINOIS,60601,US,jonah@bamfield.com,(312) 565-2859
,,219,CRM,1443468,10524,1170,,ag,levick,24,1990-10-01,2828 CROWLEY CENTER,LINDAVISTA,VERACRUZ LLAVE,95098,MX,alevickb@hubpages.com,
0.0,0.9999999999996422,4,CRM,1445954,10567,1064,,chrstine,thatch,83,1986-05-10,58 VILLAGE GREEN ST,TALAGANTE,,,CL,tchrstine1c@berkeley.edu,
,,89,MKT,1409121,10356,1227,,nonie,pete,657-75-8228,1979-04-01,313 PRICE PL,MADISON,WISCONSIN,53705,US,nora@pete.com,231-6751
,,79,MKT,1373514,10349,1200,,aida,neundorfer,225-60-6605,1994-05-01,1200 MAIN AVE,KANSAS CITY,MISSOURI,64105,US,aida@neundorfer.com,374-9387
,,17,CRM,1386547,10410,972,,alyce,mercury,395-24-5655,1973-08-29,108 N COLUMBUS ST,ALEXANDRIA,VIRGINIA,22314,US,alyce@mercury.com,(703) 548-7115
,,118,CRM,1373036,10391,1138,,eloisa,resides,647-66-8094,1974-04-05,224 SAINT LOUIS AVE,EDWARDSVILLE,ILLINOIS,62025,US,eloisa@presidency.com,(618) 656-9506
,,304,CRM,1388087,10287,1012,,marquis,barayuga,,1985-01-30,2 ALLéE FLORIAN,TASSIN-LA-DEMI-LUNE,RHôNE,69160,France,marquis@barayuga.com,04 78 79 83 84
0.0,0.9945034038653625,60,CRM,1123060,10252,982,,mary-ann,markes,,1899-12-31,1200 SUMMER ST #-103,STAMFORD,CONNECTICUT,06905,US,maryann@markes.com,(203) 967-5612
0.0,0.999999475960359,11,MKT,1420684,10361,1235,,delmar,quimby,633-22-6397,1981-08-03,212 W GIBSON DR,GREENVILLE,MICHIGAN,48838,US,delmar@quimby.com,754-6715
1.0,1.0,63,CRM,1353445,10275,995,,vernice,southwood,948-20-5524,1987-10-22,8 COMMERCIAL BLVD,MEDFORD,NEW YORK,11783,US,vernice@southwood.com,(631) 698-8293
,,35,CRM,1445914,10549,1055,,elyse,mott,50,1962-11-14,223 STEENSLAND HILL,HUAI YOT,,92130,TH,emott8@artisteer.com,
,,170,MKT,1374829,10465,1086,,prince,anadio,148-32-1674,1988-07-18,100 BOXART AVE,ROCHESTER,NEW YORK,14612,US,prince@anadio.com,(585) 663-6442
0.0,0.9999999848973561,16,CRM,1395755,10305,1027,,kenneth,robaina,,1972-04-04,1456 91ST AVE NE #12,MINNEAPOLIS,MINNESOTA,,US,ken.robaina@gmail.com,(763) 780-4712
0.0,0.6160604295973735,8,CRM,1392270,10418,1030,,adele,richardson,180-77-9038,1981-01-09,15 PLEASANT AVE E,PARAMUS,NEW JERSEY,07652,US,adelaidemackson@gmail.com,(201) 845-4885
